zipcode,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
60636,34056,40916,12020,"$93,300","$27,310",3.35,0.01683937824,689,0.9723824421,39786,0.02688434842,1100,93,249,11,588,18976,21940,31.80 years,28.90 years,34.50 years
60637,52092,49503,19546,"$185,100","$28,785",2.35,0.1597276933,7907,0.8014261762,39673,0.02413995111,1195,2249,418,29,457,21956,27547,30.50 years,27.70 years,32.40 years
60638,55780,55026,19698,"$208,800","$67,984",2.79,0.7997855559,44009,0.04083524152,2247,0.3880892669,21355,690,555,45,8871,26821,28205,37.50 years,36.30 years,38.60 years
60639,73021,90407,25197,"$223,300","$44,150",3.58,0.4007433053,36230,0.1738582189,15718,0.7592221841,68639,1297,1305,208,39030,44906,45501,29.60 years,29.00 years,30.30 years
60640,66888,65790,34315,"$292,500","$53,831",1.82,0.6167654659,40577,0.19375285,12747,0.1508283934,9923,8848,824,110,5050,34150,31640,36.40 years,36.90 years,35.80 years
60641,65767,71663,24770,"$284,100","$60,073",2.88,0.6839791803,49016,0.03732749117,2675,0.5310550772,38057,3598,1070,109,18177,35678,35985,34.30 years,33.60 years,35.10 years
60642,23100,18480,9047,"$426,500","$101,939",2.01,0.6972402597,12885,0.1185606061,2191,0.2503787879,4627,1010,213,53,2713,9652,8828,31.30 years,31.80 years,30.80 years
60643,50905,49952,18004,"$195,200","$64,477",2.75,0.2373278347,11855,0.7586483024,37896,0.02606502242,1302,309,343,41,427,22641,27311,41.40 years,39.10 years,43.30 years
60644,43563,48648,16512,"$155,300","$27,262",2.86,0.03122430521,1519,0.9516321329,46295,0.03253987831,1583,251,269,45,841,22214,26434,33.40 years,31.40 years,35.00 years
60645,47205,45274,15819,"$273,200","$53,340",2.81,0.5746786235,26018,0.1629191147,7376,0.2104740027,9529,8086,531,75,5138,22078,23196,34.90 years,34.20 years,35.70 years
60646,26543,27177,10847,"$399,500","$89,480",2.49,0.861206167,23405,0.01206902896,328,0.1148397542,3121,2980,219,40,1030,12953,14224,44.00 years,42.40 years,45.30 years
60647,86012,87291,34330,"$378,000","$73,443",2.52,0.6376946077,55665,0.08816487381,7696,0.5464137196,47697,2810,1176,231,23701,44168,43123,30.70 years,30.70 years,30.60 years
60649,50397,46650,21715,"$158,800","$30,222",2.11,0.02632368703,1228,0.9705037513,45274,0.01759914255,821,215,407,25,389,20334,26316,38.20 years,36.00 years,39.70 years
60651,52832,64267,19703,"$164,500","$38,083",3.25,0.1696204895,10901,0.6497269205,41756,0.3385252151,21756,367,718,139,12165,30345,33922,31.00 years,29.50 years,32.50 years
60652,41536,40959,12727,"$168,700","$68,425",3.2,0.3510583754,14379,0.4681266632,19174,0.3737884226,15310,452,387,25,7532,19507,21452,34.00 years,32.00 years,36.00 years
60653,33064,29908,13556,"$264,400","$29,569",2.15,0.03798314832,1136,0.9548281396,28557,0.01955998395,585,277,266,38,298,12717,17191,35.90 years,33.50 years,37.20 years
60654,24824,14875,10062,"$450,000","$112,699",1.45,0.7914621849,11773,0.07831932773,1165,0.0581512605,865,1847,72,23,354,7758,7117,32.90 years,34.10 years,31.80 years
60655,28332,28550,10535,"$246,700","$97,572",2.64,0.899614711,25684,0.08140105079,2324,0.06521891419,1862,275,170,20,504,13976,14574,37.00 years,36.00 years,37.90 years
60656,27870,27613,11869,"$288,400","$61,599",2.32,0.8757469308,24182,0.0207510955,573,0.1093325608,3019,2196,128,39,1198,13534,14079,40.30 years,38.80 years,42.10 years
60657,71404,65996,37865,"$439,200","$92,295",1.73,0.8890235772,58672,0.03482029214,2298,0.06953451724,4589,4727,398,115,1447,32536,33460,30.40 years,31.40 years,29.50 years
60659,38858,38104,12744,"$306,200","$51,383",2.96,0.502886836,19162,0.1000944783,3814,0.2101879068,8009,11794,377,81,4568,19072,19032,34.50 years,33.50 years,35.40 years
60660,42893,42752,21169,"$239,200","$49,241",1.89,0.6296079716,26917,0.1702844311,7280,0.1797108907,7683,6023,590,84,3497,21979,20773,35.80 years,36.40 years,35.00 years
60661,13756,7792,5016,"$364,000","$107,245",1.55,0.6549024641,5103,0.07546201232,588,0.05864989733,457,2092,54,12,211,3963,3829,30.00 years,30.60 years,29.40 years
60707,43632,42920,15798,"$248,400","$57,554",2.7,0.7550792171,32408,0.08839701771,3794,0.3182199441,13658,1420,363,59,6169,20622,22298,38.10 years,36.00 years,39.90 years
60827,29191,27946,9637,"$89,200","$31,954",2.88,0.04780648393,1336,0.9387032133,26233,0.0324196665,906,84,139,17,478,12356,15590,30.10 years,26.00 years,32.60 years
