,Date,DosesDaily,DosesDailyCumulative,DoseDailtFirst,DoseDailyFirstCumulative,DoseDialyPopPercent,VacSDaily,VacSCumulative,VacSPopPercent,Population,ZipCoords,Row_ID,Current Population:,2010 Population:,Households per ZIP Code:,Average House Value:,Avg. Income Per Household:,Persons Per Household:,White Proportion,White Population:,Black Proportion,Black Population:,Hispanic Proportion,Hispanic Population:,Asian Population:,American Indian Population:,Hawaiian Population:,Other Population:,Male Population:,Female Population:,Median Age:,Male Median Age:,Female Median Age:
20,2021-01-08,84,656,22,545,0.036000000000000004,62,111,0.006999999999999999,15083,POINT (-87.622844 41.886262),60601-20210108,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
21,2021-01-09,45,701,11,556,0.037000000000000005,34,145,0.01,15083,POINT (-87.622844 41.886262),60601-20210109,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
22,2021-01-10,12,713,3,559,0.037000000000000005,9,154,0.01,15083,POINT (-87.622844 41.886262),60601-20210110,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
23,2021-01-11,64,777,10,569,0.038,54,208,0.013999999999999999,15083,POINT (-87.622844 41.886262),60601-20210111,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
24,2021-01-12,73,850,27,596,0.04,46,254,0.017,15083,POINT (-87.622844 41.886262),60601-20210112,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
25,2021-01-13,49,899,27,623,0.040999999999999995,22,276,0.018000000000000002,15083,POINT (-87.622844 41.886262),60601-20210113,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
26,2021-01-14,35,934,27,650,0.043,8,284,0.019,15083,POINT (-87.622844 41.886262),60601-20210114,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
27,2021-01-15,33,967,22,672,0.045,11,295,0.02,15083,POINT (-87.622844 41.886262),60601-20210115,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
28,2021-01-16,22,989,17,689,0.046,5,300,0.02,15083,POINT (-87.622844 41.886262),60601-20210116,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
29,2021-01-17,13,1002,7,696,0.046,6,306,0.02,15083,POINT (-87.622844 41.886262),60601-20210117,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
30,2021-01-18,31,1033,10,706,0.047,21,327,0.022000000000000002,15083,POINT (-87.622844 41.886262),60601-20210118,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
31,2021-01-19,43,1076,21,727,0.048,22,349,0.023,15083,POINT (-87.622844 41.886262),60601-20210119,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
32,2021-01-20,55,1131,38,765,0.051,17,366,0.024,15083,POINT (-87.622844 41.886262),60601-20210120,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
33,2021-01-21,98,1229,86,851,0.055999999999999994,12,378,0.025,15083,POINT (-87.622844 41.886262),60601-20210121,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
34,2021-01-22,119,1348,108,959,0.064,11,389,0.026000000000000002,15083,POINT (-87.622844 41.886262),60601-20210122,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
35,2021-01-23,30,1378,29,988,0.066,1,390,0.026000000000000002,15083,POINT (-87.622844 41.886262),60601-20210123,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
36,2021-01-24,10,1388,9,997,0.066,1,391,0.026000000000000002,15083,POINT (-87.622844 41.886262),60601-20210124,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
37,2021-01-25,59,1447,36,1033,0.068,23,414,0.027000000000000003,15083,POINT (-87.622844 41.886262),60601-20210125,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
38,2021-01-26,62,1509,34,1067,0.071,28,442,0.028999999999999998,15083,POINT (-87.622844 41.886262),60601-20210126,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
39,2021-01-27,65,1574,51,1118,0.07400000000000001,14,456,0.03,15083,POINT (-87.622844 41.886262),60601-20210127,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
40,2021-01-28,86,1660,66,1184,0.078,20,476,0.032,15083,POINT (-87.622844 41.886262),60601-20210128,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
41,2021-01-29,104,1764,93,1277,0.085,11,487,0.032,15083,POINT (-87.622844 41.886262),60601-20210129,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
42,2021-01-30,33,1797,21,1298,0.086,12,499,0.033,15083,POINT (-87.622844 41.886262),60601-20210130,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
43,2021-01-31,12,1809,9,1307,0.087,3,502,0.033,15083,POINT (-87.622844 41.886262),60601-20210131,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
44,2021-02-01,35,1844,23,1330,0.08800000000000001,12,514,0.034,15083,POINT (-87.622844 41.886262),60601-20210201,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
45,2021-02-02,51,1895,28,1358,0.09,23,537,0.036000000000000004,15083,POINT (-87.622844 41.886262),60601-20210202,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
46,2021-02-03,58,1953,42,1400,0.09300000000000001,16,553,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210203,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
47,2021-02-04,41,1994,29,1429,0.095,12,565,0.037000000000000005,15083,POINT (-87.622844 41.886262),60601-20210204,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
48,2021-01-03,5,427,5,427,0.027999999999999997,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20210103,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
49,2020-12-28,22,338,22,338,0.022000000000000002,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201228,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
50,2020-12-15,0,0,0,0,0.0,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201215,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
51,2020-12-16,2,2,2,2,0.0,0,0,0.0,15083,POINT (-87.622844 41.886262),60601-20201216,17496,11110,6739,"$499,900","$103,243",1.56,0.7055805581,7839,0.07515751575,835,0.06804680468,756,2454,82,12,233,5381,5729,32.60 years,32.60 years,32.60 years
52,2021-01-15,7,110,7,80,0.07,0,30,0.026000000000000002,1145,POINT (-87.628309 41.883136),60602-20210115,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
53,2021-01-16,7,117,7,87,0.076,0,30,0.026000000000000002,1145,POINT (-87.628309 41.883136),60602-20210116,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
54,2021-01-17,3,120,2,89,0.078,1,31,0.027000000000000003,1145,POINT (-87.628309 41.883136),60602-20210117,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
55,2021-01-18,3,123,1,90,0.079,2,33,0.028999999999999998,1145,POINT (-87.628309 41.883136),60602-20210118,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
56,2021-01-19,19,142,11,101,0.08800000000000001,8,41,0.036000000000000004,1145,POINT (-87.628309 41.883136),60602-20210119,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
57,2021-01-20,10,152,8,109,0.095,2,43,0.038,1145,POINT (-87.628309 41.883136),60602-20210120,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
58,2021-01-21,14,166,13,122,0.107,1,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210121,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
59,2021-01-22,22,188,22,144,0.126,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210122,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
60,2021-01-23,10,198,10,154,0.134,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210123,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
61,2021-01-24,1,199,1,155,0.135,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210124,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
62,2021-01-25,11,210,9,164,0.14300000000000002,2,46,0.04,1145,POINT (-87.628309 41.883136),60602-20210125,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
63,2021-01-26,15,225,9,173,0.151,6,52,0.045,1145,POINT (-87.628309 41.883136),60602-20210126,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
64,2021-01-27,11,236,8,181,0.158,3,55,0.048,1145,POINT (-87.628309 41.883136),60602-20210127,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
65,2021-01-28,10,246,10,191,0.16699999999999998,0,55,0.048,1145,POINT (-87.628309 41.883136),60602-20210128,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
66,2021-01-29,12,258,11,202,0.17600000000000002,1,56,0.049,1145,POINT (-87.628309 41.883136),60602-20210129,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
67,2021-01-30,13,271,11,213,0.18600000000000003,2,58,0.051,1145,POINT (-87.628309 41.883136),60602-20210130,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
68,2021-01-31,1,272,0,213,0.18600000000000003,1,59,0.052000000000000005,1145,POINT (-87.628309 41.883136),60602-20210131,1411,1204,569,$0,"$157,125",1.69,0.7350498339,885,0.1220930233,147,0.0780730897,94,177,12,2,21,582,622,29.80 years,32.50 years,28.00 years
