Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60604,12/23/2020,1,6,1,6,0.007,0,0,0,823,POINT (-87.629029 41.878153),60604-20201223
60604,12/24/2020,1,7,1,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201224
60604,12/25/2020,0,7,0,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201225
60604,12/26/2020,0,7,0,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201226
60604,12/27/2020,0,7,0,7,0.009,0,0,0,823,POINT (-87.629029 41.878153),60604-20201227
60604,12/28/2020,1,8,1,8,0.01,0,0,0,823,POINT (-87.629029 41.878153),60604-20201228
60604,12/29/2020,1,9,1,9,0.011,0,0,0,823,POINT (-87.629029 41.878153),60604-20201229
60604,12/30/2020,1,10,1,10,0.012,0,0,0,823,POINT (-87.629029 41.878153),60604-20201230
60604,12/31/2020,1,11,1,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20201231
60604,01/01/2021,0,11,0,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20210101
60604,01/02/2021,0,11,0,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20210102
60604,01/03/2021,0,11,0,11,0.013,0,0,0,823,POINT (-87.629029 41.878153),60604-20210103
60604,01/04/2021,1,12,1,12,0.015,0,0,0,823,POINT (-87.629029 41.878153),60604-20210104
60604,01/05/2021,2,14,2,14,0.017,0,0,0,823,POINT (-87.629029 41.878153),60604-20210105
60604,01/07/2021,3,18,1,16,0.019,2,2,0.002,823,POINT (-87.629029 41.878153),60604-20210107
60604,01/08/2021,4,22,2,18,0.022,2,4,0.005,823,POINT (-87.629029 41.878153),60604-20210108
60604,01/09/2021,2,24,1,19,0.023,1,5,0.006,823,POINT (-87.629029 41.878153),60604-20210109
60604,01/10/2021,0,24,0,19,0.023,0,5,0.006,823,POINT (-87.629029 41.878153),60604-20210110
60604,01/11/2021,1,25,1,20,0.024,0,5,0.006,823,POINT (-87.629029 41.878153),60604-20210111
60604,01/12/2021,0,25,0,20,0.024,0,5,0.006,823,POINT (-87.629029 41.878153),60604-20210112
60604,01/13/2021,10,35,9,29,0.035,1,6,0.007,823,POINT (-87.629029 41.878153),60604-20210113
60604,01/14/2021,4,39,3,32,0.039,1,7,0.009,823,POINT (-87.629029 41.878153),60604-20210114
60604,01/15/2021,3,42,3,35,0.043,0,7,0.009,823,POINT (-87.629029 41.878153),60604-20210115
60604,01/17/2021,3,46,3,39,0.047,0,7,0.009,823,POINT (-87.629029 41.878153),60604-20210117
60604,01/18/2021,0,46,0,39,0.047,0,7,0.009,823,POINT (-87.629029 41.878153),60604-20210118
60604,01/19/2021,9,55,7,46,0.056,2,9,0.011,823,POINT (-87.629029 41.878153),60604-20210119
60604,01/20/2021,3,58,3,49,0.06,0,9,0.011,823,POINT (-87.629029 41.878153),60604-20210120
60604,01/21/2021,9,67,7,56,0.068,2,11,0.013,823,POINT (-87.629029 41.878153),60604-20210121
60604,01/22/2021,8,75,8,64,0.078,0,11,0.013,823,POINT (-87.629029 41.878153),60604-20210122
60604,01/23/2021,5,80,5,69,0.084,0,11,0.013,823,POINT (-87.629029 41.878153),60604-20210123
60604,01/24/2021,2,82,2,71,0.086,0,11,0.013,823,POINT (-87.629029 41.878153),60604-20210124
60604,01/25/2021,20,102,20,91,0.111,0,11,0.013,823,POINT (-87.629029 41.878153),60604-20210125
60604,01/26/2021,19,121,18,109,0.132,1,12,0.015,823,POINT (-87.629029 41.878153),60604-20210126
60604,01/27/2021,15,136,14,123,0.149,1,13,0.016,823,POINT (-87.629029 41.878153),60604-20210127
60604,01/28/2021,20,156,19,142,0.173,1,14,0.017,823,POINT (-87.629029 41.878153),60604-20210128
60604,01/29/2021,21,177,19,161,0.196,2,16,0.019,823,POINT (-87.629029 41.878153),60604-20210129
60604,01/30/2021,0,177,0,161,0.196,0,16,0.019,823,POINT (-87.629029 41.878153),60604-20210130
60604,01/31/2021,2,179,1,162,0.197,1,17,0.021,823,POINT (-87.629029 41.878153),60604-20210131
60604,02/01/2021,5,184,5,167,0.203,0,17,0.021,823,POINT (-87.629029 41.878153),60604-20210201
60604,02/02/2021,8,192,7,174,0.211,1,18,0.022,823,POINT (-87.629029 41.878153),60604-20210202
60607,01/09/2021,168,2426,29,1913,0.065,139,513,0.018,29293,POINT (-87.652727 41.876104),60607-20210109
60607,01/10/2021,30,2456,8,1921,0.066,22,535,0.018,29293,POINT (-87.652727 41.876104),60607-20210110
60607,01/11/2021,148,2604,28,1949,0.067,120,655,0.022,29293,POINT (-87.652727 41.876104),60607-20210111
60607,01/12/2021,223,2827,74,2023,0.069,149,804,0.027,29293,POINT (-87.652727 41.876104),60607-20210112
60607,01/13/2021,194,3021,83,2106,0.072,111,915,0.031,29293,POINT (-87.652727 41.876104),60607-20210113
60607,01/14/2021,112,3133,79,2185,0.075,33,948,0.032,29293,POINT (-87.652727 41.876104),60607-20210114
60607,01/15/2021,88,3221,74,2259,0.077,14,962,0.033,29293,POINT (-87.652727 41.876104),60607-20210115
60607,01/16/2021,50,3271,35,2294,0.078,15,977,0.033,29293,POINT (-87.652727 41.876104),60607-20210116
60607,01/17/2021,13,3284,9,2303,0.079,4,981,0.033,29293,POINT (-87.652727 41.876104),60607-20210117
60611,12/17/2020,172,186,172,186,0.006,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201217
60611,12/18/2020,515,701,515,701,0.021,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201218
60611,12/19/2020,191,892,191,892,0.027,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201219
60611,12/20/2020,20,912,20,912,0.027,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201220
60611,12/21/2020,422,1334,422,1334,0.04,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201221
60611,12/22/2020,182,1516,182,1516,0.046,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201222
60611,12/23/2020,67,1583,67,1583,0.048,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201223
60611,12/24/2020,27,1610,27,1610,0.048,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201224
60611,12/25/2020,0,1610,0,1610,0.048,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201225
60611,12/26/2020,38,1648,38,1648,0.05,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201226
60611,12/27/2020,0,1648,0,1648,0.05,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201227
60611,12/28/2020,127,1775,127,1775,0.053,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201228
60611,12/29/2020,120,1895,120,1895,0.057,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201229
60611,12/30/2020,87,1982,87,1982,0.06,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201230
60611,12/31/2020,26,2008,26,2008,0.06,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201231
60611,01/01/2021,3,2011,3,2011,0.061,0,0,0,33224,POINT (-87.620291 41.894734),60611-20210101
60611,01/02/2021,32,2043,32,2043,0.061,0,0,0,33224,POINT (-87.620291 41.894734),60611-20210102
60611,01/03/2021,23,2066,23,2066,0.062,0,0,0,33224,POINT (-87.620291 41.894734),60611-20210103
60611,01/04/2021,53,2119,45,2111,0.064,8,8,0,33224,POINT (-87.620291 41.894734),60611-20210104
60611,01/05/2021,210,2329,192,2303,0.069,18,26,0.001,33224,POINT (-87.620291 41.894734),60611-20210105
60611,01/06/2021,73,2402,44,2347,0.071,29,55,0.002,33224,POINT (-87.620291 41.894734),60611-20210106
60611,01/07/2021,222,2624,39,2386,0.072,183,238,0.007,33224,POINT (-87.620291 41.894734),60611-20210107
60611,01/08/2021,957,3581,438,2824,0.085,519,757,0.023,33224,POINT (-87.620291 41.894734),60611-20210108
60611,01/09/2021,212,3793,51,2875,0.087,161,918,0.028,33224,POINT (-87.620291 41.894734),60611-20210109
60611,01/10/2021,47,3840,11,2886,0.087,36,954,0.029,33224,POINT (-87.620291 41.894734),60611-20210110
60611,01/11/2021,437,4277,76,2962,0.089,361,1315,0.04,33224,POINT (-87.620291 41.894734),60611-20210111
60611,01/12/2021,260,4537,86,3048,0.092,174,1489,0.045,33224,POINT (-87.620291 41.894734),60611-20210112
60611,01/13/2021,148,4685,67,3115,0.094,81,1570,0.047,33224,POINT (-87.620291 41.894734),60611-20210113
60611,01/14/2021,100,4785,63,3178,0.096,37,1607,0.048,33224,POINT (-87.620291 41.894734),60611-20210114
60611,01/15/2021,81,4866,67,3245,0.098,14,1621,0.049,33224,POINT (-87.620291 41.894734),60611-20210115
60612,01/09/2021,56,1295,16,1090,0.032,40,205,0.006,33735,POINT (-87.687011 41.88004),60612-20210109
60612,01/10/2021,13,1308,6,1096,0.032,7,212,0.006,33735,POINT (-87.687011 41.88004),60612-20210110
60612,01/11/2021,119,1427,25,1121,0.033,94,306,0.009,33735,POINT (-87.687011 41.88004),60612-20210111
60612,01/12/2021,136,1563,62,1183,0.035,74,380,0.011,33735,POINT (-87.687011 41.88004),60612-20210112
60612,01/13/2021,128,1691,55,1238,0.037,73,453,0.013,33735,POINT (-87.687011 41.88004),60612-20210113
60612,01/14/2021,100,1791,65,1303,0.039,35,488,0.014,33735,POINT (-87.687011 41.88004),60612-20210114
60612,01/15/2021,101,1892,82,1385,0.041,19,507,0.015,33735,POINT (-87.687011 41.88004),60612-20210115
60612,01/16/2021,28,1920,27,1412,0.042,1,508,0.015,33735,POINT (-87.687011 41.88004),60612-20210116
60612,01/17/2021,7,1927,3,1415,0.042,4,512,0.015,33735,POINT (-87.687011 41.88004),60612-20210117
60613,12/28/2020,79,900,79,900,0.018,0,0,0,50761,POINT (-87.661343 41.953742),60613-20201228
60613,12/29/2020,142,1042,142,1042,0.021,0,0,0,50761,POINT (-87.661343 41.953742),60613-20201229
60613,12/30/2020,128,1170,128,1170,0.023,0,0,0,50761,POINT (-87.661343 41.953742),60613-20201230
60613,12/31/2020,34,1204,34,1204,0.024,0,0,0,50761,POINT (-87.661343 41.953742),60613-20201231
60613,01/01/2021,0,1204,0,1204,0.024,0,0,0,50761,POINT (-87.661343 41.953742),60613-20210101
60613,01/02/2021,31,1235,31,1235,0.024,0,0,0,50761,POINT (-87.661343 41.953742),60613-20210102
60613,01/03/2021,21,1256,21,1256,0.025,0,0,0,50761,POINT (-87.661343 41.953742),60613-20210103
60613,01/04/2021,89,1345,80,1336,0.026,9,9,0,50761,POINT (-87.661343 41.953742),60613-20210104
60613,01/05/2021,141,1486,134,1470,0.029,7,16,0,50761,POINT (-87.661343 41.953742),60613-20210105
60613,01/06/2021,81,1567,60,1530,0.03,21,37,0.001,50761,POINT (-87.661343 41.953742),60613-20210106
60613,01/07/2021,147,1714,67,1597,0.031,80,117,0.002,50761,POINT (-87.661343 41.953742),60613-20210107
60613,01/08/2021,265,1979,75,1672,0.033,190,307,0.006,50761,POINT (-87.661343 41.953742),60613-20210108
60613,01/09/2021,137,2116,45,1717,0.034,92,399,0.008,50761,POINT (-87.661343 41.953742),60613-20210109
60613,01/10/2021,34,2150,14,1731,0.034,20,419,0.008,50761,POINT (-87.661343 41.953742),60613-20210110
60613,01/11/2021,273,2423,140,1871,0.037,133,552,0.011,50761,POINT (-87.661343 41.953742),60613-20210111
60613,01/12/2021,358,2781,249,2120,0.042,109,661,0.013,50761,POINT (-87.661343 41.953742),60613-20210112
60613,01/13/2021,172,2953,87,2207,0.043,85,746,0.015,50761,POINT (-87.661343 41.953742),60613-20210113
60613,01/14/2021,127,3080,102,2309,0.045,25,771,0.015,50761,POINT (-87.661343 41.953742),60613-20210114
60613,01/15/2021,101,3181,85,2394,0.047,16,787,0.016,50761,POINT (-87.661343 41.953742),60613-20210115
60614,01/08/2021,400,2896,92,2357,0.033,308,539,0.007,71954,POINT (-87.652064 41.922605),60614-20210108
60614,01/09/2021,191,3087,51,2408,0.033,140,679,0.009,71954,POINT (-87.652064 41.922605),60614-20210109
60614,01/10/2021,72,3159,31,2439,0.034,41,720,0.01,71954,POINT (-87.652064 41.922605),60614-20210110
60614,01/11/2021,351,3510,125,2564,0.036,226,946,0.013,71954,POINT (-87.652064 41.922605),60614-20210111
60614,01/12/2021,318,3828,144,2708,0.038,174,1120,0.016,71954,POINT (-87.652064 41.922605),60614-20210112
60614,01/13/2021,234,4062,145,2853,0.04,89,1209,0.017,71954,POINT (-87.652064 41.922605),60614-20210113
60614,01/14/2021,119,4181,84,2937,0.041,35,1244,0.017,71954,POINT (-87.652064 41.922605),60614-20210114
60614,01/15/2021,267,4448,246,3183,0.044,21,1265,0.018,71954,POINT (-87.652064 41.922605),60614-20210115
60615,12/15/2020,1,1,1,1,0,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201215
60615,12/16/2020,1,2,1,2,0,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201216
60615,12/17/2020,26,28,26,28,0.001,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201217
60615,12/18/2020,95,123,95,123,0.003,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201218
60615,12/19/2020,52,175,52,175,0.004,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201219
60615,12/20/2020,49,224,49,224,0.006,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201220
60615,12/21/2020,44,268,44,268,0.007,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201221
60615,12/22/2020,130,398,130,398,0.01,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201222
60615,12/23/2020,167,565,167,565,0.014,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201223
60615,12/24/2020,60,625,60,625,0.015,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201224
60615,12/25/2020,0,625,0,625,0.015,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201225
60615,12/26/2020,7,632,7,632,0.016,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201226
60615,12/27/2020,0,632,0,632,0.016,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201227
60615,12/28/2020,22,654,22,654,0.016,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201228
60615,12/29/2020,120,774,120,774,0.019,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201229
60615,12/30/2020,229,1003,229,1003,0.025,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201230
60615,12/31/2020,115,1118,115,1118,0.028,0,0,0,40590,POINT (-87.602725 41.801993),60615-20201231
60615,01/01/2021,0,1118,0,1118,0.028,0,0,0,40590,POINT (-87.602725 41.801993),60615-20210101
60615,01/02/2021,3,1121,3,1121,0.028,0,0,0,40590,POINT (-87.602725 41.801993),60615-20210102
60615,01/03/2021,156,1277,150,1271,0.031,6,6,0,40590,POINT (-87.602725 41.801993),60615-20210103
60615,01/04/2021,169,1446,156,1427,0.035,13,19,0,40590,POINT (-87.602725 41.801993),60615-20210104
60615,01/05/2021,57,1503,35,1462,0.036,22,41,0.001,40590,POINT (-87.602725 41.801993),60615-20210105
60615,01/06/2021,100,1603,78,1540,0.038,22,63,0.002,40590,POINT (-87.602725 41.801993),60615-20210106
60615,01/07/2021,115,1718,68,1608,0.04,47,110,0.003,40590,POINT (-87.602725 41.801993),60615-20210107
60615,01/08/2021,154,1872,73,1681,0.041,81,191,0.005,40590,POINT (-87.602725 41.801993),60615-20210108
60615,01/09/2021,106,1978,25,1706,0.042,81,272,0.007,40590,POINT (-87.602725 41.801993),60615-20210109
60615,01/10/2021,86,2064,10,1716,0.042,76,348,0.009,40590,POINT (-87.602725 41.801993),60615-20210110
60615,01/11/2021,100,2164,24,1740,0.043,76,424,0.01,40590,POINT (-87.602725 41.801993),60615-20210111
60615,01/12/2021,126,2290,54,1794,0.044,72,496,0.012,40590,POINT (-87.602725 41.801993),60615-20210112
60615,01/13/2021,125,2415,48,1842,0.045,77,573,0.014,40590,POINT (-87.602725 41.801993),60615-20210113
60615,01/14/2021,70,2485,53,1895,0.047,17,590,0.015,40590,POINT (-87.602725 41.801993),60615-20210114
60615,01/15/2021,86,2571,55,1950,0.048,31,621,0.015,40590,POINT (-87.602725 41.801993),60615-20210115
60616,01/09/2021,101,1713,30,1373,0.025,71,340,0.006,54197,POINT (-87.629531 41.844869),60616-20210109
60616,01/10/2021,36,1749,9,1382,0.025,27,367,0.007,54197,POINT (-87.629531 41.844869),60616-20210110
60616,01/11/2021,179,1928,98,1480,0.027,81,448,0.008,54197,POINT (-87.629531 41.844869),60616-20210111
60616,01/12/2021,144,2072,55,1535,0.028,89,537,0.01,54197,POINT (-87.629531 41.844869),60616-20210112
60616,01/13/2021,170,2242,119,1654,0.031,51,588,0.011,54197,POINT (-87.629531 41.844869),60616-20210113
60616,01/14/2021,83,2325,56,1710,0.032,27,615,0.011,54197,POINT (-87.629531 41.844869),60616-20210114
60616,01/15/2021,73,2398,64,1774,0.033,9,624,0.012,54197,POINT (-87.629531 41.844869),60616-20210115
60617,01/14/2021,61,964,50,781,0.009,11,183,0.002,83553,POINT (-87.556897 41.721257),60617-20210114
60617,01/15/2021,115,1079,107,888,0.011,8,191,0.002,83553,POINT (-87.556897 41.721257),60617-20210115
60619,01/11/2021,37,551,21,484,0.008,16,67,0.001,61207,POINT (-87.60569 41.744737),60619-20210111
60619,01/12/2021,50,601,37,521,0.009,13,80,0.001,61207,POINT (-87.60569 41.744737),60619-20210112
60619,01/13/2021,86,687,70,591,0.01,16,96,0.002,61207,POINT (-87.60569 41.744737),60619-20210113
60619,01/14/2021,138,825,130,721,0.012,8,104,0.002,61207,POINT (-87.60569 41.744737),60619-20210114
60619,01/15/2021,42,867,38,759,0.012,4,108,0.002,61207,POINT (-87.60569 41.744737),60619-20210115
60624,01/05/2021,21,168,21,168,0.005,0,0,0,34892,POINT (-87.722735 41.879417),60624-20210105
60624,01/06/2021,18,186,17,185,0.005,1,1,0,34892,POINT (-87.722735 41.879417),60624-20210106
60624,01/07/2021,25,211,15,200,0.006,10,11,0,34892,POINT (-87.722735 41.879417),60624-20210107
60624,01/08/2021,21,232,13,213,0.006,8,19,0.001,34892,POINT (-87.722735 41.879417),60624-20210108
60624,01/09/2021,11,243,8,221,0.006,3,22,0.001,34892,POINT (-87.722735 41.879417),60624-20210109
60624,01/10/2021,3,246,1,222,0.006,2,24,0.001,34892,POINT (-87.722735 41.879417),60624-20210110
60624,01/11/2021,19,265,12,234,0.007,7,31,0.001,34892,POINT (-87.722735 41.879417),60624-20210111
60624,01/12/2021,34,299,28,262,0.008,6,37,0.001,34892,POINT (-87.722735 41.879417),60624-20210112
60624,01/13/2021,30,329,20,282,0.008,10,47,0.001,34892,POINT (-87.722735 41.879417),60624-20210113
60624,01/14/2021,58,387,57,339,0.01,1,48,0.001,34892,POINT (-87.722735 41.879417),60624-20210114
60624,01/15/2021,28,415,25,364,0.01,3,51,0.001,34892,POINT (-87.722735 41.879417),60624-20210115
60624,01/16/2021,10,425,8,372,0.011,2,53,0.002,34892,POINT (-87.722735 41.879417),60624-20210116
